Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],temp_diff,estimated_power,Actual Failure,Predicted Failure,Failure Probability,Risk Category
0,300.3,311.7,1571,31.2,123,11.399999999999975,5132.8597411411465,0,0,0.00036462918219419305,Low Risk
0,303.0,312.7,1551,41.8,111,9.699999999999989,6789.170219966759,0,0,0.00021873675849945845,Low Risk
1,301.2,310.6,1576,39.6,109,9.400000000000034,6535.518029115919,0,0,0.00020899837782111509,Low Risk
1,301.8,310.2,1437,42.3,0,8.399999999999977,6365.400786924031,0,0,0.013708874189236863,Low Risk
1,302.0,310.8,1445,46.3,17,8.800000000000011,7006.118136648157,0,0,0.0006865367058470654,Low Risk
1,296.9,307.9,1441,47.6,60,11.0,7182.895555265656,0,0,0.0004902802818258974,Low Risk
0,301.5,310.5,1593,32.9,155,9.0,5488.330949894832,0,0,0.0003047723757288011,Low Risk
0,300.7,310.5,1561,33.2,48,9.800000000000011,5427.122253027392,0,0,0.0002591205755872804,Low Risk
0,298.1,308.0,1638,35.1,38,9.899999999999975,6020.736656898695,0,0,0.00031426560984602366,Low Risk
1,303.4,311.4,1307,54.0,44,8.0,7390.910876835347,1,1,0.9505248449676578,High Risk
1,299.2,308.3,1755,26.4,19,9.100000000000025,4851.875694204075,0,0,0.001100302581256955,Low Risk
0,300.2,310.5,1416,46.7,90,10.300000000000011,6924.824190748766,0,0,0.0004339878294067421,Low Risk
2,297.6,308.4,1703,31.4,205,10.799999999999956,5599.805129219711,0,0,0.013989278376596713,Low Risk
1,300.3,311.1,1350,58.7,130,10.800000000000011,8298.516994457439,0,0,0.04565977355271103,Low Risk
0,299.4,308.9,1583,34.1,176,9.5,5652.803797285771,0,0,0.0003085491190274225,Low Risk
0,302.4,310.3,1923,23.3,172,7.900000000000034,4692.062875915964,0,0,0.007125042506739555,Low Risk
1,298.8,309.7,1480,38.1,157,10.899999999999975,5904.937551687375,0,0,0.0005782137571022036,Low Risk
2,299.1,308.3,1521,36.5,40,9.199999999999989,5813.674285100591,0,0,0.0024477764683273513,Low Risk
1,300.6,310.7,1388,42.9,190,10.099999999999966,6235.558762551164,0,0,0.0010509717011872774,Low Risk
0,301.5,310.3,1415,41.6,28,8.800000000000011,6164.223665363653,0,0,0.0005978746373600114,Low Risk
0,297.4,308.7,1433,43.4,116,11.300000000000011,6512.751954352903,0,0,0.0006013930828134524,Low Risk
1,302.5,311.0,1387,52.1,116,8.5,7567.332248285437,0,0,0.006992892484299427,Low Risk
0,300.3,309.6,1537,37.1,187,9.300000000000011,5971.403180261824,0,0,0.0005893422510408705,Low Risk
1,300.8,310.5,1511,35.8,54,9.699999999999989,5664.689489491851,0,0,0.00024004677156385445,Low Risk
2,297.6,308.3,1400,44.3,43,10.699999999999989,6494.719212521298,0,0,0.000975608297222883,Low Risk
0,302.5,310.4,1487,42.0,152,7.899999999999977,6540.167586243232,0,0,0.00027030990988789505,Low Risk
0,297.5,308.6,1671,29.4,136,11.100000000000025,5144.609297665574,0,0,0.0006466371462003638,Low Risk
0,301.6,311.0,1431,42.6,158,9.399999999999975,6383.779103947532,0,0,0.0004606016235632457,Low Risk
0,300.7,310.6,1720,30.3,96,9.900000000000034,5457.574757816188,0,0,0.00041602900280050744,Low Risk
0,301.0,311.2,1412,42.1,64,10.199999999999989,6225.086787039199,0,0,0.0005380219496599098,Low Risk
1,300.4,311.7,1478,39.9,185,11.300000000000011,6175.554342867599,0,0,0.0004952998042891697,Low Risk
0,299.8,309.2,1760,25.9,63,9.399999999999975,4773.545317374571,0,0,0.0009731795453056451,Low Risk
0,297.9,307.8,1459,46.9,85,9.900000000000034,7165.66915554847,0,0,0.00034542864435963797,Low Risk
0,299.7,310.6,1479,38.0,137,10.900000000000034,5885.459677235119,0,0,0.00038111561567807326,Low Risk
0,300.0,311.4,1487,41.2,22,11.399999999999975,6415.592965552885,0,0,0.00031418783363167726,Low Risk
0,302.2,310.6,1632,30.5,122,8.400000000000034,5212.530530836185,0,0,0.0009499084454600601,Low Risk
0,300.1,311.7,1503,42.6,208,11.599999999999966,6704.975536850552,0,0,0.07482117030615852,Low Risk
0,298.7,309.7,1601,35.7,176,11.0,5985.330907692738,0,0,0.0003777307641002951,Low Risk
1,297.7,308.2,1720,25.6,174,10.5,4611.020257428859,0,0,0.001383867094828489,Low Risk
2,302.0,310.5,1459,43.2,148,8.5,6600.360501486012,0,0,0.00028604345649817204,Low Risk
1,297.3,308.2,1846,24.5,41,10.899999999999975,4736.160364796852,0,0,0.0009849474980400564,Low Risk
0,300.5,309.8,1939,21.4,164,9.300000000000011,4345.304350788235,0,0,0.0035930459454982543,Low Risk
1,300.7,309.6,1388,51.1,160,8.900000000000034,7427.437127421084,0,0,0.0004343871522084773,Low Risk
1,299.2,308.5,1474,47.2,132,9.300000000000011,7285.646578989066,0,0,0.0007598292033126119,Low Risk
0,302.9,312.4,1550,36.9,194,9.5,5989.44639406894,0,0,0.0002212778721473763,Low Risk
0,297.4,308.3,1706,30.9,9,10.900000000000034,5520.343779034912,0,0,0.0004312911507981424,Low Risk
0,302.5,312.0,1383,51.3,190,9.5,7429.64671425411,0,0,0.0009669565350632684,Low Risk
0,298.3,309.0,1471,48.3,91,10.699999999999989,7440.265297423242,0,0,0.0003154096493975585,Low Risk
0,297.2,308.6,1489,40.2,214,11.400000000000034,6268.29415800157,0,0,0.0385604532788839,Low Risk
1,300.9,310.7,1420,43.0,133,9.800000000000011,6394.188247606425,0,0,0.00043435634417908687,Low Risk
0,300.4,312.0,1366,43.0,117,11.600000000000025,6151.028976218576,0,0,0.000979541405314477,Low Risk
0,299.3,309.0,1734,30.6,154,9.699999999999989,5556.472094551195,0,0,0.0005394410642398128,Low Risk
1,298.8,309.7,2098,19.0,133,10.899999999999975,4174.338878579878,0,0,0.0019966200278843708,Low Risk
0,299.3,309.1,1634,36.8,62,9.800000000000011,6296.924539051285,0,0,0.00023885369548133528,Low Risk
0,301.7,311.3,1348,51.0,87,9.600000000000025,7199.27372496637,0,0,0.014242405477249196,Low Risk
2,301.1,310.6,1407,43.9,111,9.5,6468.25653040256,0,0,0.0008619237697928271,Low Risk
0,298.7,309.6,1516,38.5,61,10.900000000000034,6112.073227314062,0,0,0.00031002127447905315,Low Risk
1,303.0,312.4,1645,29.6,129,9.399999999999975,5099.014316286473,0,0,0.00024678720930719207,Low Risk
0,301.1,311.3,1630,29.5,51,10.199999999999989,5035.44942492884,0,0,0.0013798888229312467,Low Risk
0,297.6,309.2,1390,43.3,221,11.599999999999966,6302.767901386962,0,0,0.14690676841331426,Low Risk
1,300.7,310.8,1486,41.2,71,10.100000000000025,6411.2785116419545,0,0,0.00018220208434927733,Low Risk
0,299.8,311.1,1820,24.9,174,11.300000000000011,4745.6898625127415,0,0,0.0030345250110176037,Low Risk
1,301.1,310.6,1410,43.9,73,9.5,6482.04812215182,0,0,0.0005482370087939682,Low Risk
1,301.9,311.1,1417,52.5,171,9.200000000000044,7790.36438273929,0,0,0.005376767242135524,Low Risk
0,297.7,308.2,1500,39.9,158,10.5,6267.477343911637,0,0,0.00028845554067910843,Low Risk
0,297.4,308.5,1462,42.8,68,11.100000000000025,6552.692068955543,0,0,0.0003759804548970537,Low Risk
2,300.0,311.2,1393,43.1,45,11.199999999999989,6287.19607380067,0,0,0.0009865715160138986,Low Risk
0,300.6,310.0,1313,52.9,93,9.399999999999975,7273.593335174792,0,0,0.0013871266760560538,Low Risk
0,297.6,308.3,1502,43.2,139,10.699999999999989,6794.887918596292,0,0,0.0002812611007627484,Low Risk
0,301.3,310.4,1507,39.1,194,9.099999999999966,6170.475434744298,0,0,0.0002959801220429242,Low Risk
0,300.7,309.9,1775,26.6,149,9.199999999999989,4944.343237974736,0,0,0.0019877424357714136,Low Risk
0,300.2,309.8,1481,41.9,106,9.600000000000025,6498.269212219856,0,0,0.00041564474790527765,Low Risk
0,301.8,311.0,1606,33.3,4,9.199999999999989,5600.391559848381,0,0,0.0004071976237747406,Low Risk
0,300.8,311.3,1505,45.5,141,10.5,7170.947031206501,0,0,0.00023875306346900354,Low Risk
0,297.2,308.5,1494,39.6,181,11.300000000000011,6195.47204029136,0,0,0.00035204587655118027,Low Risk
2,300.8,311.2,1612,32.5,143,10.399999999999975,5486.267970718975,0,0,0.0003389773733817957,Low Risk
0,300.6,311.7,1428,52.6,208,11.099999999999966,7865.79402235198,0,1,0.5607016799153972,Medium Risk
0,300.5,309.3,1574,33.5,101,8.800000000000011,5521.76796770454,0,0,0.0005951344400621701,Low Risk
1,297.5,308.0,1429,45.8,148,10.5,6853.719477022517,0,0,0.0005605940818998283,Low Risk
1,299.7,309.2,1685,28.9,179,9.5,5099.485555184512,1,0,0.0013313516309987,Low Risk
0,296.9,307.9,1359,56.5,110,11.0,8040.749317230396,0,0,0.0015230198406336651,Low Risk
0,299.8,311.2,1564,40.0,172,11.399999999999975,6551.267880285915,0,0,0.00031852394932214826,Low Risk
1,303.8,312.6,1406,47.1,162,8.800000000000011,6934.814455387181,0,0,0.001412430463322148,Low Risk
1,298.4,309.5,1519,35.4,133,11.100000000000025,5631.053504147417,0,0,0.0004179997184326007,Low Risk
0,298.0,308.9,1578,35.6,153,10.899999999999975,5882.820739406103,0,0,0.00029284687143235085,Low Risk
0,299.4,310.7,1426,45.7,213,11.300000000000011,6824.397945589012,0,0,0.07593564765387574,Low Risk
0,300.8,310.6,1551,34.5,153,9.800000000000011,5603.501736575436,0,0,0.00027891993034045146,Low Risk
1,302.3,311.2,1432,42.7,68,8.899999999999977,6403.236034448764,0,0,0.0005480358923751548,Low Risk
0,301.4,310.8,1610,34.6,187,9.400000000000034,5833.518678695767,0,0,0.00027283640940473205,Low Risk
0,301.5,310.5,1396,44.5,117,9.0,6505.400627543504,0,0,0.0005253229085873993,Low Risk
0,303.1,311.2,1452,52.9,11,8.099999999999966,8043.608166545163,0,0,0.0026007242780565153,Low Risk
2,300.4,311.8,2496,13.5,5,11.400000000000034,3528.636868512056,0,0,0.022467633568007447,Low Risk
0,302.1,310.5,1696,30.9,107,8.399999999999977,5487.985374702937,0,0,0.00026519162747475956,Low Risk
1,299.0,309.0,1575,35.3,47,10.0,5822.156585265284,0,0,0.00021963389188590937,Low Risk
0,297.2,308.6,1864,23.6,103,11.400000000000034,4606.663915615882,0,0,0.0019104546568288227,Low Risk
2,302.3,310.1,1688,30.4,115,7.800000000000011,5373.715177916365,0,0,0.0011788318803002565,Low Risk
1,302.2,311.1,1640,32.8,77,8.900000000000034,5633.085067396738,0,0,0.00048029653558330173,Low Risk
0,300.8,311.4,1536,40.9,22,10.599999999999966,6578.746344029314,0,0,0.00021777868613083763,Low Risk
1,304.1,313.2,1410,42.4,155,9.099999999999966,6260.56584007374,0,0,0.0014965632969446022,Low Risk
1,298.1,308.9,1804,25.1,118,10.799999999999956,4741.752399720243,0,0,0.0009238110105473731,Low Risk
0,304.2,313.4,1740,28.2,78,9.199999999999989,5138.388944211466,0,0,0.000713788251691382,Low Risk
0,298.8,309.6,1890,24.0,173,10.800000000000011,4750.088092227767,0,0,0.0027041844752202803,Low Risk
1,300.3,309.5,1665,31.4,32,9.199999999999989,5474.853517410932,0,0,0.0006728293155532029,Low Risk
1,300.1,309.0,1612,33.0,34,8.899999999999977,5570.672093345421,0,0,0.00032138324013037593,Low Risk
0,298.8,309.1,1378,54.4,165,10.300000000000011,7850.127946986078,0,0,0.0067432482425589,Low Risk
1,302.6,312.3,1454,54.8,253,9.699999999999989,8343.986312130395,1,1,0.7792207249466155,High Risk
0,300.7,311.9,1399,50.2,222,11.199999999999989,7354.447458102683,1,0,0.20875449287173897,Low Risk
0,298.1,308.7,1683,29.1,161,10.599999999999966,5128.681422911874,0,0,0.003776583829544447,Low Risk
0,303.3,312.2,1457,40.7,48,8.899999999999977,6209.871006620313,0,0,0.00021868463055515794,Low Risk
1,300.1,310.5,1329,57.4,99,10.399999999999975,7988.504631401198,0,0,0.0019481518922499627,Low Risk
0,300.0,309.1,1791,28.2,108,9.100000000000025,5288.99689602456,0,0,0.0012131016866685311,Low Risk
0,300.9,310.0,2595,13.7,207,9.100000000000025,3722.944374136584,0,0,0.2777098657360556,Low Risk
2,302.8,312.5,1422,46.1,4,9.699999999999989,6864.8197710652,0,0,0.0026603050209646826,Low Risk
0,301.5,310.8,1367,49.0,193,9.300000000000011,7014.44335718017,0,0,0.011747139837553967,Low Risk
0,297.3,308.6,1511,35.7,120,11.300000000000011,5648.866334493271,0,0,0.00034500773998244943,Low Risk
0,301.6,311.3,1706,29.9,93,9.699999999999989,5341.691876800773,0,0,0.0003322725076561661,Low Risk
0,296.7,308.0,1580,32.2,39,11.300000000000011,5327.722261467811,0,0,0.0005504512997921943,Low Risk
0,300.3,310.6,1806,24.4,88,10.300000000000011,4614.622617004975,0,0,0.0007352809064679471,Low Risk
1,300.7,310.6,1418,46.3,84,9.900000000000034,6875.207970773071,0,0,0.001112868792591973,Low Risk
0,298.1,309.0,1787,27.6,47,10.899999999999975,5164.903986207763,0,0,0.0008663782433551941,Low Risk
2,295.6,306.3,1509,35.8,60,10.699999999999989,5657.191555025283,0,0,0.00048591194323582213,Low Risk
0,298.8,309.8,1493,38.5,132,11.0,6019.343884155604,0,0,0.000554391299143201,Low Risk
0,300.6,309.7,1639,30.4,121,9.099999999999966,5217.72463069012,0,0,0.0010652539665649368,Low Risk
1,298.6,310.1,1444,48.1,39,11.5,7273.457199493136,0,0,0.0005446575925647672,Low Risk
0,302.5,312.0,2052,18.9,40,9.5,4061.325318854741,0,0,0.0007491373627206436,Low Risk
0,300.9,312.4,1364,52.5,125,11.5,7498.981664118835,0,0,0.0006165684506036756,Low Risk
1,304.2,313.5,1437,47.2,102,9.300000000000011,7102.763998648093,0,0,0.0003458833495027433,Low Risk
0,303.0,312.7,2024,19.9,102,9.699999999999989,4217.860408807608,0,0,0.0006610691612502392,Low Risk
1,302.2,311.2,1377,43.0,91,9.0,6200.561420390175,0,0,0.04606440297026919,Low Risk
0,300.8,311.7,1397,43.5,227,10.899999999999975,6363.767158744164,0,0,0.13418219916090565,Low Risk
1,298.0,307.8,1492,40.2,197,9.800000000000011,6280.923360469003,0,0,0.0003320651432717831,Low Risk
1,300.7,310.3,1471,40.2,59,9.600000000000025,6192.518943196986,0,0,0.0002450835722983652,Low Risk
0,298.7,309.7,1667,30.4,92,11.0,5306.862086247973,0,0,0.0011976701791214198,Low Risk
0,299.1,309.4,1439,44.2,82,10.299999999999956,6660.574360679816,0,0,0.0021545566582425713,Low Risk
0,302.4,312.0,1545,36.4,12,9.600000000000025,5889.229588419426,0,0,0.0002485320337540723,Low Risk
0,299.8,309.4,1630,32.4,53,9.599999999999966,5530.459707379471,0,0,0.0003122823201537461,Low Risk
0,303.6,312.7,1429,47.7,198,9.099999999999966,7138.044084147906,0,0,0.0014442993584362074,Low Risk
1,297.4,309.3,1564,36.0,126,11.900000000000034,5896.141092257324,0,0,0.0003869983500332554,Low Risk
0,296.5,307.2,1481,38.2,160,10.699999999999989,5924.436370090657,0,0,0.0004646093833263002,Low Risk
1,300.2,311.6,1533,46.4,24,11.400000000000034,7448.841845367542,0,0,0.00035551750258352196,Low Risk
0,298.8,309.8,1895,22.0,134,11.0,4365.766590938616,0,0,0.0031186898955868287,Low Risk
0,302.4,310.2,1351,45.1,168,7.800000000000011,6380.585151416381,1,1,0.9759714291732364,High Risk
0,302.2,311.4,1477,41.7,15,9.199999999999989,6449.783965599452,0,0,0.0003368757668779769,Low Risk
1,297.2,308.5,1604,34.9,200,11.300000000000011,5862.170003696505,0,0,0.015504333938112064,Low Risk
0,298.4,309.1,1423,48.0,135,10.700000000000044,7152.778153693242,0,0,0.0004823999569317793,Low Risk
2,302.9,312.3,1509,46.8,175,9.400000000000034,7395.434770256516,0,0,0.0004111183996305679,Low Risk
0,299.1,310.0,1367,56.3,203,10.899999999999975,8059.452265494767,1,1,0.7627660608078108,High Risk
0,300.6,310.0,1425,49.5,174,9.399999999999975,7386.669726753,0,0,0.0008871242959562958,Low Risk
0,302.4,311.8,1255,59.0,138,9.400000000000034,7753.974267835207,0,0,0.051723714745332716,Low Risk
0,300.7,310.2,1807,24.2,77,9.5,4579.33205952965,0,0,0.0007560520417279861,Low Risk
1,297.4,308.3,1405,51.7,108,10.900000000000034,7606.685932259408,0,0,0.000489597006617805,Low Risk
1,297.3,308.3,1544,41.7,6,11.0,6742.360489428271,0,0,0.0003276100109146392,Low Risk
0,301.8,310.7,1597,30.8,74,8.899999999999977,5150.913426923777,0,0,0.00035127559328528577,Low Risk
1,300.6,309.5,1492,34.0,144,8.899999999999977,5312.223737710101,0,0,0.0003497658428519795,Low Risk
1,301.2,312.3,1548,38.3,87,11.100000000000025,6208.666729436436,0,0,0.0002820724414887937,Low Risk
0,302.6,311.0,1537,35.5,91,8.399999999999977,5713.876358471556,0,0,0.00012183952304536826,Low Risk
0,300.4,309.7,1685,31.3,152,9.300000000000011,5522.972244888417,0,0,0.001461608625169051,Low Risk
0,301.6,310.6,1321,60.8,73,9.0,8410.75562799469,0,0,0.06582754848818233,Low Risk
0,301.1,311.1,1470,40.9,125,10.0,6296.065837059304,0,0,0.00021479187588040446,Low Risk
0,301.6,310.0,1869,22.9,18,8.399999999999977,4482.015991096951,0,0,0.00037167714180957515,Low Risk
0,297.8,307.8,1412,48.3,27,10.0,7141.845411258749,0,0,0.0005359052462663536,Low Risk
0,299.4,308.5,1845,22.9,76,9.100000000000025,4424.4620136831845,0,0,0.0013474608262845046,Low Risk
1,297.8,307.3,1315,54.0,180,9.5,7436.14981104704,0,0,0.005692606853452972,Low Risk
0,298.4,309.7,1581,34.6,150,11.300000000000011,5728.4428764087015,0,0,0.00044230602270301547,Low Risk
0,298.1,307.8,1540,37.8,203,9.699999999999989,6095.946385025634,0,0,0.01958041896534658,Low Risk
0,302.5,312.2,1574,38.7,30,9.699999999999989,6378.878219407931,0,0,0.00021051459564328323,Low Risk
1,297.7,308.9,1681,28.3,116,11.199999999999989,4981.759606478991,0,0,0.0015337972999453448,Low Risk
1,302.3,311.0,1521,34.8,72,8.699999999999989,5542.900414287687,0,0,0.00033192740711353265,Low Risk
1,298.8,309.2,1452,48.6,98,10.399999999999975,7389.779903480055,0,0,0.00043461221445560303,Low Risk
1,301.9,310.9,1483,37.0,35,9.0,5746.077683170851,0,0,0.00038736589601045624,Low Risk
0,302.3,310.9,1596,33.5,104,8.599999999999966,5598.946427227729,0,0,0.0002936724053785996,Low Risk
0,300.5,310.8,1354,51.8,157,10.300000000000011,7344.750408778601,0,0,0.0007459757614714885,Low Risk
0,300.1,311.5,1454,52.4,90,11.399999999999975,7978.556254664831,0,0,0.005306297370736798,Low Risk
1,297.6,308.4,1507,46.0,51,10.799999999999956,7259.382864405055,0,0,0.00031514139197411003,Low Risk
0,300.6,312.0,1670,29.4,134,11.399999999999975,5141.530536865055,0,0,0.0005298208558539822,Low Risk
0,298.4,309.3,1531,37.4,16,10.900000000000034,5996.190346298647,0,0,0.0002750177267802846,Low Risk
0,301.4,310.6,2137,18.0,99,9.200000000000044,4028.150100432833,0,0,0.0010355632444598,Low Risk
0,298.8,309.9,1486,40.3,126,11.099999999999966,6271.22631114492,0,0,0.0019077748816653858,Low Risk
0,296.8,307.9,1448,48.8,31,11.099999999999966,7399.749224167446,0,0,0.0008664921699601585,Low Risk
0,298.5,308.3,1458,44.0,44,9.800000000000011,6717.981730436413,0,0,0.0002963446756468764,Low Risk
0,302.4,310.7,1362,54.8,155,8.300000000000011,7816.031194719117,1,1,0.9429932332292834,High Risk
0,296.9,307.9,1367,47.1,204,11.0,6742.454737207879,0,0,0.1299488856759306,Low Risk
1,300.7,311.5,1441,40.6,33,10.800000000000011,6126.587385373648,0,0,0.0009239973715256836,Low Risk
0,299.2,310.5,1391,45.8,38,11.300000000000011,6671.465215212261,0,0,0.0006345210216697097,Low Risk
2,298.7,309.7,1697,29.8,74,11.0,5295.740848254267,0,0,0.0006094799649820588,Low Risk
0,303.9,313.2,1590,31.9,5,9.300000000000011,5311.490699424262,0,0,0.0005600151404486859,Low Risk
2,302.2,311.5,1482,42.6,16,9.300000000000011,6611.293243920505,0,0,0.00031102186361463876,Low Risk
0,300.4,311.7,1373,47.2,3,11.300000000000011,6786.426562382624,0,0,0.0019757257507080324,Low Risk
1,299.6,308.9,1568,35.3,77,9.299999999999956,5796.280333775216,0,0,0.0003122758880751105,Low Risk
0,300.7,310.8,1653,31.6,111,10.100000000000025,5470.015464724404,0,0,0.0002458855879609673,Low Risk
1,300.1,309.3,1443,50.3,196,9.199999999999989,7600.863513874753,0,0,0.0007460476047832037,Low Risk
2,298.6,309.5,1523,34.2,119,10.899999999999975,5454.495997015672,0,0,0.00036842031477946004,Low Risk
0,300.8,312.5,1434,50.7,121,11.699999999999989,7613.524132268721,0,0,0.0005036312530185563,Low Risk
0,302.6,310.5,1748,28.2,2,7.899999999999977,5162.013720966461,0,0,0.0003833112219220703,Low Risk
0,302.6,312.2,1377,45.5,54,9.599999999999966,6561.059177389604,0,0,0.02079881282090296,Low Risk
1,301.3,310.4,1577,48.3,78,9.099999999999966,7976.409499684877,0,0,0.00022404976603573225,Low Risk
0,300.6,310.3,1648,30.5,217,9.699999999999989,5263.633771334578,1,0,0.04855961718459866,Low Risk
1,297.5,308.4,1505,37.2,215,10.899999999999975,5862.840210129272,0,0,0.0313809972758033,Low Risk
0,299.8,309.2,1572,35.4,158,9.399999999999975,5827.528708702922,0,0,0.00031867490214806574,Low Risk
1,297.6,308.7,1392,41.2,178,11.099999999999966,6005.719844014536,0,0,0.0007780948293642292,Low Risk
1,300.3,311.7,1319,51.4,170,11.399999999999975,7099.643349945525,0,0,0.0005562477639479393,Low Risk
1,297.8,307.4,1438,43.6,141,9.599999999999966,6565.593542786285,0,0,0.0006837831188956883,Low Risk
0,298.7,309.9,1372,54.7,44,11.199999999999989,7859.050070122275,0,0,0.009877821834681121,Low Risk
0,298.8,309.1,1477,42.4,158,10.300000000000011,6558.053720417668,0,0,0.00036134721717738684,Low Risk
0,299.5,309.1,1336,42.1,217,9.600000000000025,5890.025458558337,0,0,0.10868207372916816,Low Risk
0,303.5,311.9,1493,38.7,14,8.399999999999977,6050.613203034335,0,0,0.00023671331816828644,Low Risk
0,298.9,310.2,1304,57.2,183,11.300000000000011,7810.92087066928,0,0,0.032575959369239176,Low Risk
0,300.5,311.9,1432,43.1,16,11.399999999999975,6463.219510181305,0,0,0.0005291866824936255,Low Risk
1,301.5,310.5,1737,29.3,114,9.0,5329.617689035476,0,0,0.00042761950162812534,Low Risk
2,300.4,309.6,1416,43.3,66,9.200000000000044,6420.661401700676,0,0,0.0009263117208215106,Low Risk
0,296.5,307.3,1579,34.5,166,10.800000000000011,5704.661020021025,0,0,0.00032745618083096923,Low Risk
2,304.0,313.2,1517,43.1,96,9.199999999999989,6846.860333062179,0,0,0.00031630910233859276,Low Risk
2,297.3,308.6,1376,53.5,112,11.300000000000011,7709.049492888873,0,0,0.0008978253411429827,Low Risk
0,297.5,308.4,1433,50.0,218,10.899999999999975,7503.170454323622,0,0,0.22014350902467,Low Risk
1,300.9,310.5,1702,29.3,32,9.600000000000025,5222.2275801602655,0,0,0.00036897195586857944,Low Risk
0,298.0,307.7,1435,45.6,184,9.699999999999989,6852.4418960100575,0,0,0.0005163396888118403,Low Risk
0,300.3,309.2,1572,32.0,173,8.899999999999977,5267.822561539365,0,0,0.0003424148321102912,Low Risk
2,304.2,313.5,1684,29.8,156,9.300000000000011,5255.17241512091,0,0,0.0008885071492116263,Low Risk
0,297.0,307.7,1315,60.1,128,10.699999999999989,8276.159326739391,0,0,0.01715078518792208,Low Risk
0,302.6,311.6,1576,34.7,182,9.0,5726.830192179858,0,0,0.0002725250972758279,Low Risk
0,297.7,308.7,1688,27.2,125,11.0,4808.060948662011,0,0,0.006176876066974083,Low Risk
0,301.8,310.8,1736,26.5,56,9.0,4817.527614524827,0,0,0.0008527417882048467,Low Risk
0,301.4,310.4,1471,37.5,193,9.0,5776.6034917882325,0,0,0.0004888108196919495,Low Risk
2,299.2,308.5,1342,47.5,147,9.300000000000011,6675.360790102712,0,0,0.0008603762850292368,Low Risk
0,297.9,309.8,1461,50.5,38,11.900000000000034,7726.275892606058,0,0,0.0064601401677379265,Low Risk
2,296.6,307.4,1406,41.5,189,10.799999999999956,6110.292991477028,0,0,0.0012940668812038592,Low Risk
0,298.5,309.9,1482,42.1,15,11.399999999999975,6533.695905376838,0,0,0.0007592695235883304,Low Risk
1,302.3,311.0,1541,36.6,143,8.699999999999989,5906.257020601883,0,0,0.00032570716360262543,Low Risk
0,302.2,311.3,1378,55.5,35,9.100000000000025,8008.862151796459,0,0,0.02428275576799372,Low Risk
0,300.4,309.8,1395,48.1,201,9.400000000000034,7026.643208651611,0,0,0.008379810001660753,Low Risk
0,302.7,312.2,1376,52.8,164,9.5,7608.183424757616,0,0,0.007758885643314684,Low Risk
0,299.8,309.2,1400,42.6,210,9.399999999999975,6245.486195336508,0,0,0.13024451684031027,Low Risk
0,303.7,312.7,1989,22.4,166,9.0,4665.642081699273,0,0,0.001311857982406273,Low Risk
1,298.4,310.1,1335,57.8,96,11.700000000000044,8080.490464298307,0,0,0.01114714311509881,Low Risk
2,300.1,311.4,1485,40.4,75,11.299999999999956,6282.556988648868,0,0,0.0005288803121699584,Low Risk
0,300.0,311.4,1655,29.6,30,11.399999999999975,5130.011363801893,0,0,0.00037535936971185577,Low Risk
0,301.5,310.7,1435,38.5,224,9.199999999999989,5785.504670973403,0,0,0.1193283932601562,Low Risk
1,298.9,309.8,2450,13.9,89,10.900000000000034,3566.2312606000137,0,0,0.0024998749171668815,Low Risk
0,302.3,312.0,1354,52.2,165,9.699999999999989,7401.46662815141,0,0,0.002263974077758441,Low Risk
